team,opponent,year,round,match_date,result,home_away,venue,crowd,score,margin
Richmond Tigers,Collingwood Magpies,2012,2,2012-04-07,L,A,Melbourne Cricket Ground,57268.0,,-21
Sydney Swans,Fremantle Dockers,2012,2,2012-04-07,W,H,Sydney Cricket Ground,22242.0,,13
West Coast Eagles,Melbourne Demons,2012,2,2012-04-07,W,H,Domain Stadium,35674.0,,108
Western Bulldogs,Adelaide Crows,2012,2,2012-04-07,L,A,AAMI Stadium,34021.0,,-18
Gold Coast Suns,St Kilda Saints,2012,2,2012-04-08,L,A,Marvel Stadium,21078.0,,-92
Greater Western Sydney Giants,North Melbourne Kangaroos,2012,2,2012-04-08,L,A,Ninja Stadium,11127.0,,-129
North Melbourne Kangaroos,Greater Western Sydney Giants,2012,2,2012-04-08,W,H,Ninja Stadium,11127.0,,129
St Kilda Saints,Gold Coast Suns,2012,2,2012-04-08,W,H,Marvel Stadium,21078.0,,92
Geelong Cats,Hawthorn Hawks,2012,2,2012-04-09,W,H,Melbourne Cricket Ground,69231.0,,2
Hawthorn Hawks,Geelong Cats,2012,2,2012-04-09,L,A,Melbourne Cricket Ground,69231.0,,-2
Carlton Blues,Collingwood Magpies,2012,3,2012-04-13,W,H,Melbourne Cricket Ground,84259.0,,60
Collingwood Magpies,Carlton Blues,2012,3,2012-04-13,L,A,Melbourne Cricket Ground,84259.0,,-60
Brisbane Lions,Fremantle Dockers,2012,3,2012-04-14,L,A,Domain Stadium,33473.0,,-29
Essendon Bombers,Gold Coast Suns,2012,3,2012-04-14,W,A,People First Stadium,17069.0,,17
Fremantle Dockers,Brisbane Lions,2012,3,2012-04-14,W,H,Domain Stadium,33473.0,,29
Gold Coast Suns,Essendon Bombers,2012,3,2012-04-14,L,H,People First Stadium,17069.0,,-17
Melbourne Demons,Richmond Tigers,2012,3,2012-04-14,L,A,Melbourne Cricket Ground,49826.0,,-59
Port Adelaide Power,Sydney Swans,2012,3,2012-04-14,L,H,AAMI Stadium,19032.0,,-22
Richmond Tigers,Melbourne Demons,2012,3,2012-04-14,W,H,Melbourne Cricket Ground,49826.0,,59
St Kilda Saints,Western Bulldogs,2012,3,2012-04-14,W,A,Marvel Stadium,28971.0,,63
Sydney Swans,Port Adelaide Power,2012,3,2012-04-14,W,A,AAMI Stadium,19032.0,,22
Western Bulldogs,St Kilda Saints,2012,3,2012-04-14,L,H,Marvel Stadium,28971.0,,-63
Adelaide Crows,Hawthorn Hawks,2012,3,2012-04-15,L,A,Melbourne Cricket Ground,33524.0,,-56
Geelong Cats,North Melbourne Kangaroos,2012,3,2012-04-15,L,A,Marvel Stadium,29630.0,,-17
Greater Western Sydney Giants,West Coast Eagles,2012,3,2012-04-15,L,H,Blacktown International,6875.0,,-81
Hawthorn Hawks,Adelaide Crows,2012,3,2012-04-15,W,H,Melbourne Cricket Ground,33524.0,,56
North Melbourne Kangaroos,Geelong Cats,2012,3,2012-04-15,W,H,Marvel Stadium,29630.0,,17
West Coast Eagles,Greater Western Sydney Giants,2012,3,2012-04-15,W,A,Blacktown International,6875.0,,81
Fremantle Dockers,St Kilda Saints,2012,4,2012-04-20,W,A,Marvel Stadium,30172.0,,13
St Kilda Saints,Fremantle Dockers,2012,4,2012-04-20,L,H,Marvel Stadium,30172.0,,-13
Adelaide Crows,Greater Western Sydney Giants,2012,4,2012-04-21,W,H,AAMI Stadium,28261.0,,46
Brisbane Lions,Gold Coast Suns,2012,4,2012-04-21,W,H,The Gabba,21980.0,,65
Carlton Blues,Essendon Bombers,2012,4,2012-04-21,L,H,Melbourne Cricket Ground,73172.0,,-30
Collingwood Magpies,Port Adelaide Power,2012,4,2012-04-21,W,H,Marvel Stadium,30741.0,,24
Essendon Bombers,Carlton Blues,2012,4,2012-04-21,W,A,Melbourne Cricket Ground,73172.0,,30
Gold Coast Suns,Brisbane Lions,2012,4,2012-04-21,L,A,The Gabba,21980.0,,-65
Greater Western Sydney Giants,Adelaide Crows,2012,4,2012-04-21,L,A,AAMI Stadium,28261.0,,-46
Hawthorn Hawks,West Coast Eagles,2012,4,2012-04-21,L,A,Domain Stadium,40080.0,,-5
Port Adelaide Power,Collingwood Magpies,2012,4,2012-04-21,L,A,Marvel Stadium,30741.0,,-24
West Coast Eagles,Hawthorn Hawks,2012,4,2012-04-21,W,H,Domain Stadium,40080.0,,5
Geelong Cats,Richmond Tigers,2012,4,2012-04-22,W,H,GMHBA Stadium,21952.0,,10
Melbourne Demons,Western Bulldogs,2012,4,2012-04-22,L,H,Melbourne Cricket Ground,33565.0,,-21
North Melbourne Kangaroos,Sydney Swans,2012,4,2012-04-22,L,A,Sydney Cricket Ground,21049.0,,-36
Richmond Tigers,Geelong Cats,2012,4,2012-04-22,L,A,GMHBA Stadium,21952.0,,-10
Sydney Swans,North Melbourne Kangaroos,2012,4,2012-04-22,W,H,Sydney Cricket Ground,21049.0,,36
Western Bulldogs,Melbourne Demons,2012,4,2012-04-22,W,A,Melbourne Cricket Ground,33565.0,,21
Collingwood Magpies,Essendon Bombers,2012,5,2012-04-25,W,H,Melbourne Cricket Ground,86932.0,,1
Essendon Bombers,Collingwood Magpies,2012,5,2012-04-25,L,A,Melbourne Cricket Ground,86932.0,,-1
Carlton Blues,Fremantle Dockers,2012,5,2012-04-27,W,A,Domain Stadium,38847.0,,8
Fremantle Dockers,Carlton Blues,2012,5,2012-04-27,L,H,Domain Stadium,38847.0,,-8
Brisbane Lions,Geelong Cats,2012,5,2012-04-28,L,H,The Gabba,15528.0,,-38
Geelong Cats,Brisbane Lions,2012,5,2012-04-28,W,A,The Gabba,15528.0,,38
Gold Coast Suns,North Melbourne Kangaroos,2012,5,2012-04-28,L,A,Marvel Stadium,17680.0,,-34
Greater Western Sydney Giants,Western Bulldogs,2012,5,2012-04-28,L,H,Manuka Oval,9128.0,,-42
Melbourne Demons,St Kilda Saints,2012,5,2012-04-28,L,H,Melbourne Cricket Ground,24798.0,,-18
North Melbourne Kangaroos,Gold Coast Suns,2012,5,2012-04-28,W,H,Marvel Stadium,17680.0,,34
St Kilda Saints,Melbourne Demons,2012,5,2012-04-28,W,A,Melbourne Cricket Ground,24798.0,,18
Western Bulldogs,Greater Western Sydney Giants,2012,5,2012-04-28,W,A,Manuka Oval,9128.0,,42
Adelaide Crows,Port Adelaide Power,2012,5,2012-04-29,W,H,AAMI Stadium,41649.0,,19
Hawthorn Hawks,Sydney Swans,2012,5,2012-04-29,L,H,UTAS Stadium,19217.0,,-37
Port Adelaide Power,Adelaide Crows,2012,5,2012-04-29,L,A,AAMI Stadium,41649.0,,-19
Richmond Tigers,West Coast Eagles,2012,5,2012-04-29,L,H,Marvel Stadium,28464.0,,-10
Sydney Swans,Hawthorn Hawks,2012,5,2012-04-29,W,A,UTAS Stadium,19217.0,,37
West Coast Eagles,Richmond Tigers,2012,5,2012-04-29,W,A,Marvel Stadium,28464.0,,10
Collingwood Magpies,Western Bulldogs,2012,6,2012-05-04,W,A,Marvel Stadium,38155.0,,21
Western Bulldogs,Collingwood Magpies,2012,6,2012-05-04,L,H,Marvel Stadium,38155.0,,-21
Adelaide Crows,Sydney Swans,2012,6,2012-05-05,W,A,Sydney Cricket Ground,23969.0,,5
Brisbane Lions,Essendon Bombers,2012,6,2012-05-05,L,A,Marvel Stadium,36361.0,,-67
Essendon Bombers,Brisbane Lions,2012,6,2012-05-05,W,H,Marvel Stadium,36361.0,,67
Fremantle Dockers,Gold Coast Suns,2012,6,2012-05-05,W,A,People First Stadium,11670.0,,7
Geelong Cats,Melbourne Demons,2012,6,2012-05-05,W,H,GMHBA Stadium,18010.0,,43
Gold Coast Suns,Fremantle Dockers,2012,6,2012-05-05,L,H,People First Stadium,11670.0,,-7
Hawthorn Hawks,St Kilda Saints,2012,6,2012-05-05,W,A,Melbourne Cricket Ground,42289.0,,35
Melbourne Demons,Geelong Cats,2012,6,2012-05-05,L,A,GMHBA Stadium,18010.0,,-43
St Kilda Saints,Hawthorn Hawks,2012,6,2012-05-05,L,H,Melbourne Cricket Ground,42289.0,,-35
Sydney Swans,Adelaide Crows,2012,6,2012-05-05,L,H,Sydney Cricket Ground,23969.0,,-5
Carlton Blues,Greater Western Sydney Giants,2012,6,2012-05-06,W,H,Marvel Stadium,28213.0,,67
Greater Western Sydney Giants,Carlton Blues,2012,6,2012-05-06,L,A,Marvel Stadium,28213.0,,-67
North Melbourne Kangaroos,West Coast Eagles,2012,6,2012-05-06,L,A,Domain Stadium,37202.0,,-25
Port Adelaide Power,Richmond Tigers,2012,6,2012-05-06,L,H,AAMI Stadium,18522.0,,-37
Richmond Tigers,Port Adelaide Power,2012,6,2012-05-06,W,A,AAMI Stadium,18522.0,,37
West Coast Eagles,North Melbourne Kangaroos,2012,6,2012-05-06,W,H,Domain Stadium,37202.0,,25
Hawthorn Hawks,Melbourne Demons,2012,7,2012-05-11,W,A,Melbourne Cricket Ground,36430.0,,66
Melbourne Demons,Hawthorn Hawks,2012,7,2012-05-11,L,H,Melbourne Cricket Ground,36430.0,,-66
Adelaide Crows,Geelong Cats,2012,7,2012-05-12,W,H,AAMI Stadium,35535.0,,50
Brisbane Lions,Collingwood Magpies,2012,7,2012-05-12,L,H,The Gabba,27926.0,,-58
Collingwood Magpies,Brisbane Lions,2012,7,2012-05-12,W,A,The Gabba,27926.0,,58
Essendon Bombers,West Coast Eagles,2012,7,2012-05-12,W,H,Marvel Stadium,43260.0,,61
Geelong Cats,Adelaide Crows,2012,7,2012-05-12,L,A,AAMI Stadium,35535.0,,-50
Gold Coast Suns,Greater Western Sydney Giants,2012,7,2012-05-12,L,A,Manuka Oval,8603.0,,-27
Greater Western Sydney Giants,Gold Coast Suns,2012,7,2012-05-12,W,H,Manuka Oval,8603.0,,27
Richmond Tigers,Sydney Swans,2012,7,2012-05-12,W,H,Melbourne Cricket Ground,40352.0,,29
Sydney Swans,Richmond Tigers,2012,7,2012-05-12,L,A,Melbourne Cricket Ground,40352.0,,-29
West Coast Eagles,Essendon Bombers,2012,7,2012-05-12,L,A,Marvel Stadium,43260.0,,-61
Fremantle Dockers,Port Adelaide Power,2012,7,2012-05-13,W,H,Domain Stadium,30079.0,,40
North Melbourne Kangaroos,Western Bulldogs,2012,7,2012-05-13,L,H,Marvel Stadium,20885.0,,-18
Port Adelaide Power,Fremantle Dockers,2012,7,2012-05-13,L,A,Domain Stadium,30079.0,,-40
Western Bulldogs,North Melbourne Kangaroos,2012,7,2012-05-13,W,A,Marvel Stadium,20885.0,,18
Carlton Blues,St Kilda Saints,2012,7,2012-05-14,L,A,Marvel Stadium,38823.0,,-24
St Kilda Saints,Carlton Blues,2012,7,2012-05-14,W,H,Marvel Stadium,38823.0,,24
Collingwood Magpies,Geelong Cats,2012,8,2012-05-18,W,H,Melbourne Cricket Ground,75650.0,,12
Geelong Cats,Collingwood Magpies,2012,8,2012-05-18,L,A,Melbourne Cricket Ground,75650.0,,-12
Essendon Bombers,Richmond Tigers,2012,8,2012-05-19,W,H,Melbourne Cricket Ground,80900.0,,19
Fremantle Dockers,Hawthorn Hawks,2012,8,2012-05-19,L,A,UTAS Stadium,12959.0,,-56
Gold Coast Suns,Western Bulldogs,2012,8,2012-05-19,L,A,TIO Stadium,8724.0,,-38
Hawthorn Hawks,Fremantle Dockers,2012,8,2012-05-19,W,H,UTAS Stadium,12959.0,,56
Melbourne Demons,Sydney Swans,2012,8,2012-05-19,L,A,Sydney Cricket Ground,20818.0,,-101
North Melbourne Kangaroos,Port Adelaide Power,2012,8,2012-05-19,L,A,AAMI Stadium,14508.0,,-2
Port Adelaide Power,North Melbourne Kangaroos,2012,8,2012-05-19,W,H,AAMI Stadium,14508.0,,2
Richmond Tigers,Essendon Bombers,2012,8,2012-05-19,L,A,Melbourne Cricket Ground,80900.0,,-19
Sydney Swans,Melbourne Demons,2012,8,2012-05-19,W,H,Sydney Cricket Ground,20818.0,,101
Western Bulldogs,Gold Coast Suns,2012,8,2012-05-19,W,H,TIO Stadium,8724.0,,38
Adelaide Crows,Carlton Blues,2012,8,2012-05-20,W,A,Marvel Stadium,35919.0,,69
Brisbane Lions,Greater Western Sydney Giants,2012,8,2012-05-20,W,H,The Gabba,16049.0,,92
Carlton Blues,Adelaide Crows,2012,8,2012-05-20,L,H,Marvel Stadium,35919.0,,-69
Greater Western Sydney Giants,Brisbane Lions,2012,8,2012-05-20,L,A,The Gabba,16049.0,,-92
St Kilda Saints,West Coast Eagles,2012,8,2012-05-20,L,A,Domain Stadium,38174.0,,-30
West Coast Eagles,St Kilda Saints,2012,8,2012-05-20,W,H,Domain Stadium,38174.0,,30
Geelong Cats,Western Bulldogs,2012,9,2012-05-25,W,A,Marvel Stadium,29118.0,,20
Western Bulldogs,Geelong Cats,2012,9,2012-05-25,L,H,Marvel Stadium,29118.0,,-20
Adelaide Crows,Collingwood Magpies,2012,9,2012-05-26,L,H,AAMI Stadium,44238.0,,-26
Collingwood Magpies,Adelaide Crows,2012,9,2012-05-26,W,A,AAMI Stadium,44238.0,,26
Essendon Bombers,Greater Western Sydney Giants,2012,9,2012-05-26,W,A,ENGIE Stadium,11887.0,,66
Gold Coast Suns,Port Adelaide Power,2012,9,2012-05-26,L,H,People First Stadium,12416.0,,-48
Greater Western Sydney Giants,Essendon Bombers,2012,9,2012-05-26,L,H,ENGIE Stadium,11887.0,,-66
Hawthorn Hawks,Richmond Tigers,2012,9,2012-05-26,L,A,Melbourne Cricket Ground,51617.0,,-62
Port Adelaide Power,Gold Coast Suns,2012,9,2012-05-26,W,A,People First Stadium,12416.0,,48
Richmond Tigers,Hawthorn Hawks,2012,9,2012-05-26,W,H,Melbourne Cricket Ground,51617.0,,62
St Kilda Saints,Sydney Swans,2012,9,2012-05-26,W,H,Marvel Stadium,34737.0,,28
Sydney Swans,St Kilda Saints,2012,9,2012-05-26,L,A,Marvel Stadium,34737.0,,-28
Brisbane Lions,North Melbourne Kangaroos,2012,9,2012-05-27,L,A,Marvel Stadium,19988.0,,-16
Carlton Blues,Melbourne Demons,2012,9,2012-05-27,W,H,Melbourne Cricket Ground,28371.0,,58
Fremantle Dockers,West Coast Eagles,2012,9,2012-05-27,L,A,Domain Stadium,40905.0,,-48
Melbourne Demons,Carlton Blues,2012,9,2012-05-27,L,A,Melbourne Cricket Ground,28371.0,,-58
North Melbourne Kangaroos,Brisbane Lions,2012,9,2012-05-27,W,H,Marvel Stadium,19988.0,,16
West Coast Eagles,Fremantle Dockers,2012,9,2012-05-27,W,H,Domain Stadium,40905.0,,48
Richmond Tigers,St Kilda Saints,2012,10,2012-06-01,W,A,Marvel Stadium,49337.0,,8
St Kilda Saints,Richmond Tigers,2012,10,2012-06-01,L,H,Marvel Stadium,49337.0,,-8
Adelaide Crows,Fremantle Dockers,2012,10,2012-06-02,W,A,Domain Stadium,31392.0,,29
Carlton Blues,Port Adelaide Power,2012,10,2012-06-02,L,A,AAMI Stadium,24746.0,,-54
Essendon Bombers,Melbourne Demons,2012,10,2012-06-02,L,H,Melbourne Cricket Ground,42987.0,,-6
Fremantle Dockers,Adelaide Crows,2012,10,2012-06-02,L,H,Domain Stadium,31392.0,,-29
Geelong Cats,Greater Western Sydney Giants,2012,10,2012-06-02,W,H,GMHBA Stadium,17243.0,,65
Greater Western Sydney Giants,Geelong Cats,2012,10,2012-06-02,L,A,GMHBA Stadium,17243.0,,-65
Hawthorn Hawks,North Melbourne Kangaroos,2012,10,2012-06-02,W,H,UTAS Stadium,16143.0,,115
Melbourne Demons,Essendon Bombers,2012,10,2012-06-02,W,A,Melbourne Cricket Ground,42987.0,,6
North Melbourne Kangaroos,Hawthorn Hawks,2012,10,2012-06-02,L,A,UTAS Stadium,16143.0,,-115
Port Adelaide Power,Carlton Blues,2012,10,2012-06-02,W,H,AAMI Stadium,24746.0,,54
Brisbane Lions,West Coast Eagles,2012,10,2012-06-03,W,H,The Gabba,15546.0,,2
Collingwood Magpies,Gold Coast Suns,2012,10,2012-06-03,W,H,Melbourne Cricket Ground,36913.0,,97
Gold Coast Suns,Collingwood Magpies,2012,10,2012-06-03,L,A,Melbourne Cricket Ground,36913.0,,-97
Sydney Swans,Western Bulldogs,2012,10,2012-06-03,W,H,Sydney Cricket Ground,13505.0,,92
West Coast Eagles,Brisbane Lions,2012,10,2012-06-03,L,A,The Gabba,15546.0,,-2
Western Bulldogs,Sydney Swans,2012,10,2012-06-03,L,A,Sydney Cricket Ground,13505.0,,-92
Carlton Blues,Geelong Cats,2012,11,2012-06-08,L,H,Marvel Stadium,47632.0,,-12
Geelong Cats,Carlton Blues,2012,11,2012-06-08,W,A,Marvel Stadium,47632.0,,12
Essendon Bombers,Sydney Swans,2012,11,2012-06-09,L,H,Marvel Stadium,42785.0,,-4
Fremantle Dockers,Richmond Tigers,2012,11,2012-06-09,W,A,Melbourne Cricket Ground,43801.0,,12
Gold Coast Suns,St Kilda Saints,2012,11,2012-06-09,L,H,People First Stadium,12534.0,,-95
Richmond Tigers,Fremantle Dockers,2012,11,2012-06-09,L,H,Melbourne Cricket Ground,43801.0,,-12
St Kilda Saints,Gold Coast Suns,2012,11,2012-06-09,W,A,People First Stadium,12534.0,,95
Sydney Swans,Essendon Bombers,2012,11,2012-06-09,W,A,Marvel Stadium,42785.0,,4
Hawthorn Hawks,Port Adelaide Power,2012,11,2012-06-10,W,A,AAMI Stadium,26638.0,,46
Port Adelaide Power,Hawthorn Hawks,2012,11,2012-06-10,L,H,AAMI Stadium,26638.0,,-46
Collingwood Magpies,Melbourne Demons,2012,11,2012-06-11,W,A,Melbourne Cricket Ground,64250.0,,42
Melbourne Demons,Collingwood Magpies,2012,11,2012-06-11,L,H,Melbourne Cricket Ground,64250.0,,-42
Carlton Blues,West Coast Eagles,2012,12,2012-06-14,L,A,Domain Stadium,34224.0,,-10
West Coast Eagles,Carlton Blues,2012,12,2012-06-14,W,H,Domain Stadium,34224.0,,10
Adelaide Crows,St Kilda Saints,2012,12,2012-06-15,W,H,AAMI Stadium,36394.0,,4
St Kilda Saints,Adelaide Crows,2012,12,2012-06-15,L,A,AAMI Stadium,36394.0,,-4
Gold Coast Suns,North Melbourne Kangaroos,2012,12,2012-06-16,L,H,People First Stadium,10170.0,,-7
Greater Western Sydney Giants,Richmond Tigers,2012,12,2012-06-16,L,H,ENGIE Stadium,7538.0,,-12
North Melbourne Kangaroos,Gold Coast Suns,2012,12,2012-06-16,W,A,People First Stadium,10170.0,,7
Richmond Tigers,Greater Western Sydney Giants,2012,12,2012-06-16,W,A,ENGIE Stadium,7538.0,,12
Brisbane Lions,Hawthorn Hawks,2012,12,2012-06-17,L,A,Melbourne Cricket Ground,35492.0,,-65
Hawthorn Hawks,Brisbane Lions,2012,12,2012-06-17,W,H,Melbourne Cricket Ground,35492.0,,65
Port Adelaide Power,Western Bulldogs,2012,12,2012-06-17,L,A,Marvel Stadium,16036.0,,-38
Western Bulldogs,Port Adelaide Power,2012,12,2012-06-17,W,H,Marvel Stadium,16036.0,,38
Geelong Cats,Sydney Swans,2012,13,2012-06-22,L,A,Sydney Cricket Ground,27400.0,,-6
Sydney Swans,Geelong Cats,2012,13,2012-06-22,W,H,Sydney Cricket Ground,27400.0,,6
Brisbane Lions,Western Bulldogs,2012,13,2012-06-23,W,A,Marvel Stadium,20146.0,,58
Collingwood Magpies,West Coast Eagles,2012,13,2012-06-23,W,H,Melbourne Cricket Ground,62957.0,,3
Essendon Bombers,Fremantle Dockers,2012,13,2012-06-23,W,A,Domain Stadium,34567.0,,24
Fremantle Dockers,Essendon Bombers,2012,13,2012-06-23,L,H,Domain Stadium,34567.0,,-24
West Coast Eagles,Collingwood Magpies,2012,13,2012-06-23,L,A,Melbourne Cricket Ground,62957.0,,-3
Western Bulldogs,Brisbane Lions,2012,13,2012-06-23,L,H,Marvel Stadium,20146.0,,-58
Adelaide Crows,North Melbourne Kangaroos,2012,13,2012-06-24,L,A,Marvel Stadium,18866.0,,-32
Greater Western Sydney Giants,Melbourne Demons,2012,13,2012-06-24,L,A,Melbourne Cricket Ground,20070.0,,-78
Melbourne Demons,Greater Western Sydney Giants,2012,13,2012-06-24,W,H,Melbourne Cricket Ground,20070.0,,78
North Melbourne Kangaroos,Adelaide Crows,2012,13,2012-06-24,W,H,Marvel Stadium,18866.0,,32
Carlton Blues,Hawthorn Hawks,2012,14,2012-06-29,L,H,Melbourne Cricket Ground,65047.0,,-50
Hawthorn Hawks,Carlton Blues,2012,14,2012-06-29,W,A,Melbourne Cricket Ground,65047.0,,50
Adelaide Crows,Richmond Tigers,2012,14,2012-06-30,W,H,AAMI Stadium,33780.0,,19
Collingwood Magpies,Fremantle Dockers,2012,14,2012-06-30,W,H,Melbourne Cricket Ground,44891.0,,29
Essendon Bombers,Western Bulldogs,2012,14,2012-06-30,W,H,Marvel Stadium,40824.0,,84
Fremantle Dockers,Collingwood Magpies,2012,14,2012-06-30,L,A,Melbourne Cricket Ground,44891.0,,-29
Gold Coast Suns,West Coast Eagles,2012,14,2012-06-30,L,A,Domain Stadium,34592.0,,-126
Greater Western Sydney Giants,Sydney Swans,2012,14,2012-06-30,L,A,Accor Stadium,22565.0,,-94
Richmond Tigers,Adelaide Crows,2012,14,2012-06-30,L,A,AAMI Stadium,33780.0,,-19
Sydney Swans,Greater Western Sydney Giants,2012,14,2012-06-30,W,H,Accor Stadium,22565.0,,94
West Coast Eagles,Gold Coast Suns,2012,14,2012-06-30,W,H,Domain Stadium,34592.0,,126
Western Bulldogs,Essendon Bombers,2012,14,2012-06-30,L,A,Marvel Stadium,40824.0,,-84
Brisbane Lions,Melbourne Demons,2012,14,2012-07-01,W,H,The Gabba,22114.0,,61
Geelong Cats,Port Adelaide Power,2012,14,2012-07-01,W,H,GMHBA Stadium,13736.0,,38
Melbourne Demons,Brisbane Lions,2012,14,2012-07-01,L,A,The Gabba,22114.0,,-61
North Melbourne Kangaroos,St Kilda Saints,2012,14,2012-07-01,W,A,Marvel Stadium,33106.0,,33
Port Adelaide Power,Geelong Cats,2012,14,2012-07-01,L,A,GMHBA Stadium,13736.0,,-38
St Kilda Saints,North Melbourne Kangaroos,2012,14,2012-07-01,L,H,Marvel Stadium,33106.0,,-33
Carlton Blues,Collingwood Magpies,2012,15,2012-07-06,W,A,Melbourne Cricket Ground,75755.0,,23
Collingwood Magpies,Carlton Blues,2012,15,2012-07-06,L,H,Melbourne Cricket Ground,75755.0,,-23
Adelaide Crows,Port Adelaide Power,2012,15,2012-07-07,W,A,AAMI Stadium,34829.0,,58
Brisbane Lions,Sydney Swans,2012,15,2012-07-07,L,A,Sydney Cricket Ground,19419.0,,-47
Essendon Bombers,St Kilda Saints,2012,15,2012-07-07,L,A,Marvel Stadium,45838.0,,-71
Melbourne Demons,Richmond Tigers,2012,15,2012-07-07,L,H,Melbourne Cricket Ground,46773.0,,-23
North Melbourne Kangaroos,West Coast Eagles,2012,15,2012-07-07,L,H,Ninja Stadium,14113.0,,-2
Port Adelaide Power,Adelaide Crows,2012,15,2012-07-07,L,H,AAMI Stadium,34829.0,,-58
Richmond Tigers,Melbourne Demons,2012,15,2012-07-07,W,A,Melbourne Cricket Ground,46773.0,,23
St Kilda Saints,Essendon Bombers,2012,15,2012-07-07,W,H,Marvel Stadium,45838.0,,71
Sydney Swans,Brisbane Lions,2012,15,2012-07-07,W,H,Sydney Cricket Ground,19419.0,,47
West Coast Eagles,North Melbourne Kangaroos,2012,15,2012-07-07,W,A,Ninja Stadium,14113.0,,2
Fremantle Dockers,Western Bulldogs,2012,15,2012-07-08,W,H,Domain Stadium,30420.0,,38
Geelong Cats,Gold Coast Suns,2012,15,2012-07-08,W,A,People First Stadium,15824.0,,14
Gold Coast Suns,Geelong Cats,2012,15,2012-07-08,L,H,People First Stadium,15824.0,,-14
Greater Western Sydney Giants,Hawthorn Hawks,2012,15,2012-07-08,L,A,Melbourne Cricket Ground,26518.0,,-162
Hawthorn Hawks,Greater Western Sydney Giants,2012,15,2012-07-08,W,H,Melbourne Cricket Ground,26518.0,,162
Western Bulldogs,Fremantle Dockers,2012,15,2012-07-08,L,A,Domain Stadium,30420.0,,-38
Carlton Blues,North Melbourne Kangaroos,2012,16,2012-07-13,L,A,Marvel Stadium,46423.0,,-53
North Melbourne Kangaroos,Carlton Blues,2012,16,2012-07-13,W,H,Marvel Stadium,46423.0,,53
Brisbane Lions,St Kilda Saints,2012,16,2012-07-14,L,H,The Gabba,19228.0,,-13
Collingwood Magpies,Geelong Cats,2012,16,2012-07-14,W,A,Melbourne Cricket Ground,61717.0,,31
Essendon Bombers,Port Adelaide Power,2012,16,2012-07-14,W,A,AAMI Stadium,17344.0,,50
Fremantle Dockers,Melbourne Demons,2012,16,2012-07-14,W,A,Marvel Stadium,13284.0,,34
Geelong Cats,Collingwood Magpies,2012,16,2012-07-14,L,H,Melbourne Cricket Ground,61717.0,,-31
Gold Coast Suns,Richmond Tigers,2012,16,2012-07-14,W,A,Cazaly's Stadium,10961.0,,2
Melbourne Demons,Fremantle Dockers,2012,16,2012-07-14,L,H,Marvel Stadium,13284.0,,-34
Port Adelaide Power,Essendon Bombers,2012,16,2012-07-14,L,H,AAMI Stadium,17344.0,,-50
Richmond Tigers,Gold Coast Suns,2012,16,2012-07-14,L,H,Cazaly's Stadium,10961.0,,-2
St Kilda Saints,Brisbane Lions,2012,16,2012-07-14,W,A,The Gabba,19228.0,,13
Adelaide Crows,Greater Western Sydney Giants,2012,16,2012-07-15,W,A,ENGIE Stadium,7669.0,,119
Greater Western Sydney Giants,Adelaide Crows,2012,16,2012-07-15,L,H,ENGIE Stadium,7669.0,,-119
Hawthorn Hawks,Western Bulldogs,2012,16,2012-07-15,W,A,Marvel Stadium,24754.0,,72
Sydney Swans,West Coast Eagles,2012,16,2012-07-15,W,A,Domain Stadium,39152.0,,52
West Coast Eagles,Sydney Swans,2012,16,2012-07-15,L,H,Domain Stadium,39152.0,,-52
Western Bulldogs,Hawthorn Hawks,2012,16,2012-07-15,L,H,Marvel Stadium,24754.0,,-72
Essendon Bombers,Geelong Cats,2012,17,2012-07-20,L,A,Marvel Stadium,50066.0,,-67
Geelong Cats,Essendon Bombers,2012,17,2012-07-20,W,H,Marvel Stadium,50066.0,,67
Adelaide Crows,West Coast Eagles,2012,17,2012-07-21,W,H,AAMI Stadium,40724.0,,49
Brisbane Lions,Gold Coast Suns,2012,17,2012-07-21,W,A,The Gabba,16550.0,,11
Carlton Blues,Western Bulldogs,2012,17,2012-07-21,W,A,Marvel Stadium,24615.0,,18
Collingwood Magpies,Hawthorn Hawks,2012,17,2012-07-21,L,H,Melbourne Cricket Ground,83714.0,,-47
Gold Coast Suns,Brisbane Lions,2012,17,2012-07-21,L,H,The Gabba,16550.0,,-11
Hawthorn Hawks,Collingwood Magpies,2012,17,2012-07-21,W,A,Melbourne Cricket Ground,83714.0,,47
Melbourne Demons,Port Adelaide Power,2012,17,2012-07-21,L,H,TIO Stadium,6714.0,,-28
Port Adelaide Power,Melbourne Demons,2012,17,2012-07-21,W,A,TIO Stadium,6714.0,,28
West Coast Eagles,Adelaide Crows,2012,17,2012-07-21,L,A,AAMI Stadium,40724.0,,-49
Western Bulldogs,Carlton Blues,2012,17,2012-07-21,L,H,Marvel Stadium,24615.0,,-18
Fremantle Dockers,Greater Western Sydney Giants,2012,17,2012-07-22,W,H,Domain Stadium,28767.0,,95
Greater Western Sydney Giants,Fremantle Dockers,2012,17,2012-07-22,L,A,Domain Stadium,28767.0,,-95
North Melbourne Kangaroos,Richmond Tigers,2012,17,2012-07-22,W,A,Melbourne Cricket Ground,47432.0,,4
Richmond Tigers,North Melbourne Kangaroos,2012,17,2012-07-22,L,H,Melbourne Cricket Ground,47432.0,,-4
St Kilda Saints,Sydney Swans,2012,17,2012-07-22,L,A,Sydney Cricket Ground,26834.0,,-29
